train_loss,epoch,step,val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision
0.7526954412460327,0,152,,,,,,,
,0,152,0.5984784364700317,0.7465564608573914,0.7121211886405945,0.42424243688583374,0.7104594707489014,0.7121212482452393,0.7171052694320679
0.47536537051200867,1,305,,,,,,,
,1,305,0.4763294458389282,0.8714417219161987,0.7272727489471436,0.45454543828964233,0.7262673377990723,0.7272727489471436,0.7306616902351379
0.3635801374912262,2,458,,,,,,,
,2,458,0.4397066533565521,0.8989899158477783,0.7727272510528564,0.5454545021057129,0.7714153528213501,0.7727272510528564,0.7791353464126587
0.3274828791618347,3,611,,,,,,,
,3,611,0.4823095500469208,0.8806244134902954,0.8030303120613098,0.6060606241226196,0.8026224970817566,0.8030303120613098,0.8055555820465088
0.3086332678794861,4,764,,,,,,,
,4,764,0.46311408281326294,0.9008264541625977,0.7575757503509521,0.5151515007019043,0.7555555701255798,0.7575757503509521,0.7663817405700684
0.2568698823451996,5,917,,,,,,,
,5,917,0.5162520408630371,0.8842974901199341,0.8030303120613098,0.6060606241226196,0.8026224970817566,0.8030303120613098,0.8055555820465088
0.25678062438964844,6,1070,,,,,,,
,6,1070,0.42445921897888184,0.89439857006073,0.7878788113594055,0.5757575631141663,0.7876838445663452,0.7878787517547607,0.7889400720596313
0.18456272780895233,7,1223,,,,,,,
,7,1223,0.6645717024803162,0.8833792209625244,0.8333333134651184,0.6666666269302368,0.8314372301101685,0.8333333730697632,0.8490384817123413
0.16609543561935425,8,1376,,,,,,,
,8,1376,0.6390377879142761,0.8787878751754761,0.7727272510528564,0.5454545021057129,0.7714153528213501,0.7727272510528564,0.7791353464126587
0.20607399940490723,9,1529,,,,,,,
,9,1529,0.6625938415527344,0.8824609518051147,0.7727272510528564,0.5454545021057129,0.7684210538864136,0.7727272510528564,0.7946428656578064
0.11902668327093124,10,1682,,,,,,,
,10,1682,0.7010266780853271,0.8741965293884277,0.7727272510528564,0.5454545021057129,0.7722567915916443,0.7727272510528564,0.7749999761581421
0.08782810717821121,11,1835,,,,,,,
,11,1835,0.8721627593040466,0.8751147985458374,0.8181818127632141,0.6363636255264282,0.8181818127632141,0.8181818127632141,0.8181818127632141
0.14724200963974,12,1988,,,,,,,
,12,1988,1.095467448234558,0.8383838534355164,0.7575757503509521,0.5151515007019043,0.7539608478546143,0.7575757503509521,0.7736585140228271
0.15305843949317932,13,2141,,,,,,,
,13,2141,0.644713819026947,0.8797061443328857,0.8030303120613098,0.6060606241226196,0.8026224970817566,0.8030303120613098,0.8055555820465088
0.03334719315171242,14,2294,,,,,,,
,14,2294,0.9074451327323914,0.8631772994995117,0.8484848737716675,0.6969696879386902,0.8479262590408325,0.8484848737716675,0.8536812663078308
0.01937359943985939,15,2447,,,,,,,
,15,2447,1.0176081657409668,0.8686869144439697,0.8181818127632141,0.6363636255264282,0.8180147409439087,0.8181818723678589,0.8193548321723938
0.014293191023170948,16,2600,,,,,,,
,16,2600,1.1307369470596313,0.8668503761291504,0.8484848737716675,0.6969696879386902,0.8479262590408325,0.8484848737716675,0.8536812663078308
