train_loss,epoch,step,val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision
0.6231089234352112,0,152,,,,,,,
,0,152,0.5113857984542847,0.8319559693336487,0.7121211886405945,0.42424243688583374,0.7120550870895386,0.7121212482452393,0.7123161554336548
0.42839500308036804,1,305,,,,,,,
,1,305,0.4289582669734955,0.8778696060180664,0.7878788113594055,0.5757575631141663,0.7876838445663452,0.7878787517547607,0.7889400720596313
0.35309430956840515,2,458,,,,,,,
,2,458,0.4417206645011902,0.8879705667495728,0.7272727489471436,0.45454543828964233,0.7232059836387634,0.7272727489471436,0.7414634227752686
0.29774653911590576,3,611,,,,,,,
,3,611,0.47052475810050964,0.8806244730949402,0.7878788113594055,0.5757575631141663,0.7878788709640503,0.7878788113594055,0.7878788113594055
0.3031385838985443,4,764,,,,,,,
,4,764,0.4831623435020447,0.8797061443328857,0.7575757503509521,0.5151515007019043,0.7566819787025452,0.7575757503509521,0.7614165544509888
0.25167447328567505,5,917,,,,,,,
,5,917,0.5785370469093323,0.8852158784866333,0.7272727489471436,0.45454543828964233,0.7144230604171753,0.7272727489471436,0.7771556377410889
0.2436835616827011,6,1070,,,,,,,
,6,1070,0.6053441166877747,0.8732782602310181,0.7121211886405945,0.42424243688583374,0.7066667079925537,0.7121212482452393,0.7291666865348816
0.179645374417305,7,1223,,,,,,,
,7,1223,0.7508111000061035,0.8723599910736084,0.8181818127632141,0.6363636255264282,0.8181818127632141,0.8181818127632141,0.8181818127632141
0.20070499181747437,8,1376,,,,,,,
,8,1376,0.8574029803276062,0.8549127578735352,0.8181818127632141,0.6363636255264282,0.8154705762863159,0.8181818127632141,0.8380488157272339
0.12076441198587418,9,1529,,,,,,,
,9,1529,0.7843931913375854,0.8714417219161987,0.7575757503509521,0.5151515007019043,0.7566819787025452,0.7575757503509521,0.7614165544509888
0.1356711983680725,10,1682,,,,,,,
,10,1682,0.7934375405311584,0.8760330677032471,0.8030303120613098,0.6060606241226196,0.8018933534622192,0.8030303120613098,0.8101503849029541
0.12243235856294632,11,1835,,,,,,,
,11,1835,0.7695757746696472,0.8989899158477783,0.8484848737716675,0.6969696879386902,0.8472222089767456,0.8484848737716675,0.8603988885879517
